datetime,Latitude,Longitude
2020-02-19 16:46:19,nan,nan
2020-02-19 16:46:22,nan,nan
2020-02-19 16:46:25,nan,nan
2020-02-19 16:46:28,nan,nan
2020-02-19 16:46:31,nan,nan
2020-02-19 16:46:34,nan,nan
2020-02-19 16:46:37,nan,nan
2020-02-19 16:46:40,nan,nan
2020-02-19 16:46:43,nan,nan
2020-02-19 16:46:46,nan,nan
2020-02-19 16:46:49,nan,nan
2020-02-19 16:46:52,nan,nan
2020-02-19 16:46:55,nan,nan
2020-02-19 16:46:58,nan,nan
2020-02-19 16:47:01,nan,nan
2020-02-19 16:47:05,nan,nan
2020-02-19 16:47:08,nan,nan
2020-02-19 16:47:11,nan,nan
2020-02-19 16:47:14,nan,nan
2020-02-19 16:47:17,nan,nan
2020-02-19 16:47:20,nan,nan
2020-02-19 16:47:23,nan,nan
2020-02-19 16:47:26,nan,nan
2020-02-19 16:47:29,nan,nan
2020-02-19 16:47:32,nan,nan
2020-02-19 16:47:35,nan,nan
2020-02-19 16:47:38,nan,nan
2020-02-19 16:47:41,nan,nan
2020-02-19 16:47:44,nan,nan
2020-02-19 16:47:47,nan,nan
2020-02-19 16:47:50,nan,nan
2020-02-19 16:47:53,nan,nan
2020-02-19 16:47:56,nan,nan
2020-02-19 16:47:59,nan,nan
2020-02-19 16:48:02,nan,nan
2020-02-19 16:48:05,nan,nan
2020-02-19 16:48:08,nan,nan
2020-02-19 16:48:11,nan,nan
2020-02-19 16:48:14,nan,nan
2020-02-19 16:48:17,nan,nan
2020-02-19 16:48:20,nan,nan
2020-02-19 16:48:23,nan,nan
2020-02-19 16:48:26,nan,nan
2020-02-19 16:48:29,nan,nan
2020-02-19 16:48:32,nan,nan
2020-02-19 16:48:35,nan,nan
2020-02-19 16:48:38,nan,nan
2020-02-19 16:48:41,nan,nan
2020-02-19 16:48:44,nan,nan
2020-02-19 16:48:47,nan,nan
2020-02-19 16:48:50,nan,nan
2020-02-19 16:48:53,nan,nan
2020-02-19 16:48:56,nan,nan
2020-02-19 16:49:00,nan,nan
2020-02-19 16:49:03,nan,nan
2020-02-19 16:49:06,nan,nan
2020-02-19 16:49:09,nan,nan
2020-02-19 16:49:12,nan,nan
2020-02-19 16:49:15,nan,nan
2020-02-19 16:49:18,nan,nan
2020-02-19 16:49:21,nan,nan
2020-02-19 16:49:24,nan,nan
2020-02-19 16:49:27,nan,nan
2020-02-19 16:49:30,nan,nan
2020-02-19 16:49:33,nan,nan
2020-02-19 16:49:36,nan,nan
